date_inflation,core_inflation,CPI
2013,9.015749999999999,1.0
2014,9.2325,1.0901575
2015,6.949916666666667,1.1908062911875
2016,13.296166666666666,1.273566336086455
2017,30.84175,1.4429018387430703
2018,10.204083333333333,1.8879180165936111
2019,5.804749999999999,2.080562744271837
2020,2.3365,2.2013342101699567
2021,4.37225,2.252768383990578
2022,14.891916666666667,2.3512650496596064
2023,38.32058333333333,2.7014134814673736
2024,27.431583333333332,3.7366108858109794
2025,22.59,4.761622414794623
